id,title,published_at,views,likes,comments,duration_seconds
HZvb2t3ZBBg,"Google Home APIs, tools, and Gemini capabilities for your apps",2025-05-27 17:21:43+00:00,5481,100,7.0,542
eJFJRyXEHZ0,"Announcing Gemma 3n Preview: Powerful, Efficient, Mobile-First AI",2025-05-27 20:00:15+00:00,304383,7685,401.0,348
6bYCRPPdUxw,"Tell us your best “shouldn’t have worked, but did” coding tale 👀",2025-05-28 04:00:06+00:00,6406,81,10.0,15
dN1DbYyopks,"Living Canvas, a web-based puzzle game powered by Generative AI",2025-05-28 23:13:07+00:00,6811,172,11.0,596
VM3b3csBeUc,Build your first Java agent with Google ADK,2025-05-29 04:00:38+00:00,11269,371,35.0,979
-K7zY3VubVo,What happened at Google I/O 2025? - Google Developer News Special Report,2025-05-29 23:00:00+00:00,5325,122,9.0,2621
B8Fdxdri0aQ,The #GoogleIO recap playlist is live. ✨,2025-05-30 19:50:14+00:00,3829,92,3.0,37
EysJTNLQVZw,AI-powered patient engagement - CareMessage and the Gemini API,2025-05-30 23:00:26+00:00,3529,140,9.0,143
NQO78R6pyp8,What will this log and why? Go!,2025-06-02 13:00:42+00:00,5774,116,11.0,22
fXtKyxUKDpc,Join the Google Home APIs Developer Challenge,2025-06-02 22:58:57+00:00,5098,178,9.0,279
JMIenSHitQk,Join the Google Home APIs Developer Challenge,2025-06-03 04:00:31+00:00,6363,272,5.0,59
MUn6W73HffY,"You came for the keynotes, but stayed for the demos, the devs, and the snacks.",2025-06-04 04:00:20+00:00,6018,101,3.0,21
2YzXNLl1W0Y,Booking flights with Gemma running locally in the browser!,2025-06-04 16:09:56+00:00,5670,236,12.0,64
PvKEHPbZ4-Y,Hybrid LLMs: Utilizing Gemini and Gemma for Edge AI applications,2025-06-04 20:00:16+00:00,16055,603,31.0,241
MwJjFp6V8PE,“What announcement had you the most hyped?”,2025-06-06 16:45:02+00:00,1765,41,0.0,54
zcdMZImwlNo,Hugging Face + Gemma  = 🪄,2025-06-07 01:08:55+00:00,6017,252,6.0,62
YW1m2Z6MyTk,What’s the maximum number of completed products possible in a 10hr shift? Go!,2025-06-09 13:00:57+00:00,4852,102,22.0,31
Smk_SA8GoTU,"""What's one takeaway from #GoogleIO that can boost dev productivity?""",2025-06-10 04:00:29+00:00,3256,89,3.0,41
qqHFXC2n2Xc,Just in from the news desk 📰: Angular V20 is here!,2025-06-10 13:01:28+00:00,4235,142,8.0,61
9_GiWxsIwrE,Google Wallet at I/O’25: Your essential recap with Q&A,2025-06-10 17:06:52+00:00,4250,139,3.0,3757
Cc4rrw0fee8,Refactoring legacy code or debugging in production?  💭,2025-06-11 04:00:14+00:00,9649,165,11.0,43
21_pmVP7gtA,"""What keeps you coming to Google I/O year after year?""",2025-06-12 04:00:02+00:00,4552,65,4.0,32
eCLMWJY1RAg,What kind of use cases is Gemma 1B on-device oriented for? Let’s find out.,2025-06-12 16:42:52+00:00,4319,109,6.0,48
_cdjPCkdGXU,Build a mobile app using the Home APIs on Android,2025-06-12 20:00:32+00:00,6434,221,13.0,772
eFXr0DrbcVc,What I/O announcement made made your team most proud? (Chrome's Version),2025-06-13 04:00:56+00:00,3553,79,2.0,32
i3Pc-Z8YzMQ,Build a mobile app using the Home APIs on Android,2025-06-13 13:01:23+00:00,7238,239,6.0,32
